Gene,Transcript ID,Global Frequency,Present in Transcripts,Sum or Abundance RPKM,Mean,SD
ADAM10,ENST00000260408,1,ADAM10_ENST00000260408,4.01,34.15,8.12
THRB,ENST00000643772,1,THRB_ENST00000643772,0.00,66.00,7.79
DSP,ENST00000418664,1,DSP_ENST00000418664,17.21,,Fitting failed: Negative mean or mean not greater than standard deviation
PLA2G6,ENST00000479641,1,PLA2G6_ENST00000479641,0.25,57.58,1.12
KRT5,ENST00000252242,1,KRT5_ENST00000252242,0.00,51.00,14.14
ATRX,ENST00000479487,1,ATRX_ENST00000479487,1.00,25.83,5.91
MUC4,ENST00000628289,7,MUC4_ENST00000479406-MUC4_ENST00000625407-MUC4_ENST00000627476-MUC4_ENST00000628685-MUC4_ENST00000628289-MUC4_ENST00000625430-MUC4_ENST00000630966,0.00,53.00,4.90
NPY,ENST00000242152,1,NPY_ENST00000242152,0.93,66.78,4.59
PITX2,ENST00000354925,1,PITX2_ENST00000354925,0.32,59.05,7.37
AIRE,ENST00000397994,1,AIRE_ENST00000397994,0.00,76.00,3.16
CD163,ENST00000537044,1,CD163_ENST00000537044,3.33,38.21,7.29
ERBB2,ENST00000578373,1,ERBB2_ENST00000578373,6.56,66.84,10.03
PTPN11,ENST00000690210,1,PTPN11_ENST00000690210,0.00,54.00,6.63
ANXA2,ENST00000559467,2,ANXA2_ENST00000559370-ANXA2_ENST00000559467,5.66,59.16,3.23
MUC1,ENST00000462317,2,MUC1_ENST00000457295-MUC1_ENST00000462317,0.08,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
KCNMA1,ENST00000640773,1,KCNMA1_ENST00000640773,0.00,40.00,4.32
MYD88,ENST00000699084,3,MYD88_ENST00000484513-MYD88_ENST00000699084-MYD88_ENST00000699085,1.25,55.62,6.01
HMGB1,ENST00000405805,1,HMGB1_ENST00000405805,0.47,33.37,22.42
ATG5,ENST00000369070,2,ATG5_ENST00000369070-ATG5_ENST00000646025,4.10,62.77,1.31
CFH,ENST00000695990,1,CFH_ENST00000695990,0.35,34.43,4.56
OPA1,ENST00000495476,1,OPA1_ENST00000495476,1.88,48.39,4.68
PON1,ENST00000433729,1,PON1_ENST00000433729,0.00,41.00,3.74
NOD2,ENST00000526417,1,NOD2_ENST00000526417,0.05,51.38,2.65
RASA1,ENST00000509953,5,RASA1_ENST00000274376-RASA1_ENST00000456692-RASA1_ENST00000512763-RASA1_ENST00000509953-RASA1_ENST00000506290,13.92,40.68,1.18
GLI3,ENST00000642432,1,GLI3_ENST00000642432,0.00,41.00,10.68
DDX5,ENST00000579461,2,DDX5_ENST00000579461-DDX5_ENST00000582326,5.26,33.83,3.26
XPO1,ENST00000460037,2,XPO1_ENST00000428210-XPO1_ENST00000460037,4.03,38.83,5.86
RAB7A,ENST00000674589,1,RAB7A_ENST00000674589,2.51,34.43,19.47
CDK2,ENST00000555357,1,CDK2_ENST00000555357,0.20,44.68,3.99
TUG1,ENST00000569384,1,TUG1_ENST00000569384,0.20,44.67,1.75
BLM,ENST00000355112,1,BLM_ENST00000355112,9.47,60.84,2.17
ABCC8,ENST00000525022,1,ABCC8_ENST00000525022,0.00,67.00,7.21
BACE1,ENST00000514464,1,BACE1_ENST00000514464,0.00,59.00,4.90
FUS,ENST00000568901,2,FUS_ENST00000487509-FUS_ENST00000568901,11.81,29.10,11.27
MPL,ENST00000638732,1,MPL_ENST00000638732,0.14,65.75,4.06
NEDD4L,ENST00000256830,1,NEDD4L_ENST00000256830,0.00,63.00,2.58
GNAS,ENST00000464624,1,GNAS_ENST00000464624,0.00,58.00,6.63
ZEB1,ENST00000561061,1,ZEB1_ENST00000561061,0.01,51.03,0.12
TSC1,ENST00000645150,4,TSC1_ENST00000493467-TSC1_ENST00000642646-TSC1_ENST00000645150-TSC1_ENST00000642745,1.30,50.07,4.93
EPHA2,ENST00000358432,1,EPHA2_ENST00000358432,7.79,59.01,6.57
SOS1,ENST00000692089,1,SOS1_ENST00000692089,0.21,58.42,1.97
FSCN1,ENST00000447103,1,FSCN1_ENST00000447103,0.00,71.86,9.26
ACTA1,ENST00000684723,1,ACTA1_ENST00000684723,0.00,52.00,19.34
PAX6,ENST00000639943,1,PAX6_ENST00000639943,0.00,45.00,15.30
RAD50,ENST00000487596,2,RAD50_ENST00000487596-RAD50_ENST00000651658,1.34,,Fitting failed: Negative mean or mean not greater than standard deviation
HLA-DPB1,ENST00000494240,7,HLA-DPB1_ENST00000471170-HLA-DPB1_ENST00000475215-HLA-DPB1_ENST00000471485-HLA-DPB1_ENST00000493721-HLA-DPB1_ENST00000494240-HLA-DPB1_ENST00000487405-HLA-DPB1_ENST00000498038,0.92,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
CD209,ENST00000593660,1,CD209_ENST00000593660,0.00,65.00,3.74
TRAF2,ENST00000469701,1,TRAF2_ENST00000469701,1.45,67.01,2.74
AR,ENST00000613054,1,AR_ENST00000613054,0.00,46.00,7.79
HSF1,ENST00000643870,4,HSF1_ENST00000644444-HSF1_ENST00000532338-HSF1_ENST00000643870-HSF1_ENST00000528199,4.88,66.07,3.13
COL2A1,ENST00000474996,1,COL2A1_ENST00000474996,0.00,61.00,4.90
CX3CR1,ENST00000412814,2,CX3CR1_ENST00000412814-CX3CR1_ENST00000541347,0.00,57.00,9.52
FASN,ENST00000635733,1,FASN_ENST00000635733,0.10,60.54,1.52
L1CAM,ENST00000361981,1,L1CAM_ENST00000361981,0.00,,Below k-mer threshold: no fitting performed
FOXC1,ENST00000645831,1,FOXC1_ENST00000645831,0.12,67.48,26.66
CYP2D6,ENST00000629640,4,CYP2D6_ENST00000630793-CYP2D6_ENST00000634653-CYP2D6_ENST00000635505-CYP2D6_ENST00000629640,0.00,65.00,2.58
CHRNA4,ENST00000637243,1,CHRNA4_ENST00000637243,0.00,,Not enough GC content data points for fitting
ATXN3,ENST00000555381,2,ATXN3_ENST00000429774-ATXN3_ENST00000555381,0.00,39.00,3.74
ANXA1,ENST00000376911,1,ANXA1_ENST00000376911,0.66,36.05,5.86
ITPR1,ENST00000648390,1,ITPR1_ENST00000648390,0.00,40.00,3.16
ITCH,ENST00000535650,1,ITCH_ENST00000535650,0.00,44.00,4.32
MGP,ENST00000228938,1,MGP_ENST00000228938,0.13,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
MST1R,ENST00000344206,1,MST1R_ENST00000344206,5.60,46.37,3.46
SLC1A2,ENST00000646099,3,SLC1A2_ENST00000643454-SLC1A2_ENST00000646099-SLC1A2_ENST00000643305,2.39,39.96,1.87
SERPINA1,ENST00000557361,1,SERPINA1_ENST00000557361,0.37,50.00,2.33
EHMT2,ENST00000436026,7,EHMT2_ENST00000447162-EHMT2_ENST00000424396-EHMT2_ENST00000419454-EHMT2_ENST00000436026-EHMT2_ENST00000420623-EHMT2_ENST00000448415-EHMT2_ENST00000451745,0.00,68.00,3.16
GSK3B,ENST00000677716,1,GSK3B_ENST00000677716,0.00,50.00,6.63
NR4A1,ENST00000548232,3,NR4A1_ENST00000478250-NR4A1_ENST00000550557-NR4A1_ENST00000548232,2.33,60.05,4.18
NFKB1,ENST00000697793,1,NFKB1_ENST00000697793,0.29,,Fitting failed: Negative mean or mean not greater than standard deviation
TUG1,ENST00000566220,1,TUG1_ENST00000566220,0.12,53.59,0.39
YWHAZ,ENST00000395957,1,YWHAZ_ENST00000395957,14.96,61.19,11.69
TFF3,ENST00000398431,1,TFF3_ENST00000398431,5.93,,Not enough GC content data points for fitting
DCN,ENST00000052754,1,DCN_ENST00000052754,0.03,40.88,6.98
SCN1A,ENST00000689288,1,SCN1A_ENST00000689288,0.00,43.00,8.37
JAK1,ENST00000699259,2,JAK1_ENST00000672247-JAK1_ENST00000699259,0.00,58.00,10.10
PIN1,ENST00000592184,1,PIN1_ENST00000592184,0.00,68.00,11.25
IL24,ENST00000491169,1,IL24_ENST00000491169,0.00,55.00,4.90
CLU,ENST00000522098,5,CLU_ENST00000316403-CLU_ENST00000405140-CLU_ENST00000522299-CLU_ENST00000523500-CLU_ENST00000522098,18.67,,Fitting failed: Negative mean or mean not greater than standard deviation
HEXA,ENST00000682064,1,HEXA_ENST00000682064,0.84,54.58,11.21
VWF,ENST00000539641,1,VWF_ENST00000539641,0.15,57.43,1.98
FOLH1,ENST00000529117,1,FOLH1_ENST00000529117,0.00,43.00,14.14
GNAS,ENST00000682680,2,GNAS_ENST00000682917-GNAS_ENST00000682680,2.40,52.51,9.40
SKP2,ENST00000678537,2,SKP2_ENST00000678537-SKP2_ENST00000676559,0.19,,Fitting failed: Negative mean or mean not greater than standard deviation
SMAD2,ENST00000591214,1,SMAD2_ENST00000591214,2.78,33.03,7.24
ADIPOR1,ENST00000495562,1,ADIPOR1_ENST00000495562,1.41,37.68,6.51
CACNA1A,ENST00000637927,3,CACNA1A_ENST00000636022-CACNA1A_ENST00000637927-CACNA1A_ENST00000573710,0.00,52.00,5.48
KPNB1,ENST00000677036,1,KPNB1_ENST00000677036,2.40,37.68,13.35
CTSB,ENST00000679128,2,CTSB_ENST00000710716-CTSB_ENST00000679128,0.00,51.00,7.21
NFKBIA,ENST00000697960,3,NFKBIA_ENST00000555629-NFKBIA_ENST00000697960-NFKBIA_ENST00000697958,10.99,62.01,5.02
IDE,ENST00000677196,2,IDE_ENST00000677196-IDE_ENST00000677978,13.86,63.42,2.65
ABCC4,ENST00000643816,1,ABCC4_ENST00000643816,1.07,,Fitting failed: Negative mean or mean not greater than standard deviation
SLC19A1,ENST00000427839,1,SLC19A1_ENST00000427839,0.00,72.00,3.16
PMS2,ENST00000699769,1,PMS2_ENST00000699769,3.71,56.82,1.09
IFNGR1,ENST00000458076,1,IFNGR1_ENST00000458076,0.37,41.13,1.74
RUNX1,ENST00000468726,1,RUNX1_ENST00000468726,0.00,43.00,8.37
POSTN,ENST00000474646,1,POSTN_ENST00000474646,0.45,34.57,3.19
CSNK2A1,ENST00000609525,1,CSNK2A1_ENST00000609525,0.37,47.87,2.78
PPARGC1A,ENST00000508380,1,PPARGC1A_ENST00000508380,0.76,49.43,5.08
ADA,ENST00000696075,1,ADA_ENST00000696075,0.00,56.00,5.48
CD274,ENST00000381573,1,CD274_ENST00000381573,0.09,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
DDR1,ENST00000552068,16,DDR1_ENST00000324771-DDR1_ENST00000376568-DDR1_ENST00000383377-DDR1_ENST00000400491-DDR1_ENST00000400492-DDR1_ENST00000400414-DDR1_ENST00000429699-DDR1_ENST00000412329-DDR1_ENST00000452441-DDR1_ENST00000449518-DDR1_ENST00000430933-DDR1_ENST00000548133-DDR1_ENST00000550395-DDR1_ENST00000552068-DDR1_ENST00000553015-DDR1_ENST00000513240,19.50,59.85,7.33
HSPA5,ENST00000680257,4,HSPA5_ENST00000680032-HSPA5_ENST00000681540-HSPA5_ENST00000680234-HSPA5_ENST00000680257,0.00,63.00,2.58
HNRNPD,ENST00000703973,1,HNRNPD_ENST00000703973,0.00,49.00,7.21
TNFSF12,ENST00000700050,2,TNFSF12_ENST00000700048-TNFSF12_ENST00000700050,0.00,70.00,6.63
ERCC6,ENST00000679871,1,ERCC6_ENST00000679871,-0.00,72.19,8.23
SOD2,ENST00000545162,1,SOD2_ENST00000545162,1.27,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
F2R,ENST00000319211,1,F2R_ENST00000319211,4.77,50.21,13.09
RIPK1,ENST00000678809,1,RIPK1_ENST00000678809,0.22,44.71,2.15
JAK1,ENST00000671746,1,JAK1_ENST00000671746,0.45,43.43,5.56
BUB1B,ENST00000559461,2,BUB1B_ENST00000557848-BUB1B_ENST00000559461,1.54,31.21,16.76
EPHB4,ENST00000492403,1,EPHB4_ENST00000492403,0.33,54.01,3.51
NOD1,ENST00000419799,1,NOD1_ENST00000419799,0.16,45.26,2.70
PDIA3,ENST00000686227,3,PDIA3_ENST00000497349-PDIA3_ENST00000690274-PDIA3_ENST00000686227,0.49,36.66,6.63
CSF3R,ENST00000484762,2,CSF3R_ENST00000484762-CSF3R_ENST00000480825,0.48,61.62,2.50
GRN,ENST00000586242,1,GRN_ENST00000586242,0.03,69.03,0.05
YWHAZ,ENST00000522542,1,YWHAZ_ENST00000522542,7.13,40.64,3.82
ATG16L1,ENST00000464645,2,ATG16L1_ENST00000464645-ATG16L1_ENST00000626361,0.53,48.05,1.77
PDIA3,ENST00000687167,3,PDIA3_ENST00000690274-PDIA3_ENST00000691893-PDIA3_ENST00000687167,11.14,56.52,1.56
DDB1,ENST00000681188,1,DDB1_ENST00000681188,0.04,53.23,1.01
GAA,ENST00000390015,5,GAA_ENST00000302262-GAA_ENST00000390015-GAA_ENST00000572080-GAA_ENST00000707781-GAA_ENST00000707779,8.35,65.30,2.84
PKD1,ENST00000468674,1,PKD1_ENST00000468674,0.00,68.00,5.48
SIRT6,ENST00000595670,3,SIRT6_ENST00000595670-SIRT6_ENST00000601069-SIRT6_ENST00000596119,1.27,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
ABCC8,ENST00000643562,1,ABCC8_ENST00000643562,0.00,66.00,3.16
HNRNPA2B1,ENST00000679243,1,HNRNPA2B1_ENST00000679243,0.00,41.00,3.74
TFPI2,ENST00000222543,1,TFPI2_ENST00000222543,0.00,29.00,11.83
FGFR1,ENST00000397090,2,FGFR1_ENST00000397090-FGFR1_ENST00000526570,0.35,58.50,11.01
MAPT,ENST00000629368,1,MAPT_ENST00000629368,0.00,61.00,3.74
ITGA3,ENST00000512553,1,ITGA3_ENST00000512553,0.79,45.26,1.61
NTRK2,ENST00000686322,2,NTRK2_ENST00000689301-NTRK2_ENST00000686322,0.00,,Not enough GC content data points for fitting
FOLR1,ENST00000312293,1,FOLR1_ENST00000312293,0.00,57.00,6.06
XPO1,ENST00000678263,1,XPO1_ENST00000678263,0.00,43.00,3.74
SLC22A5,ENST00000415928,1,SLC22A5_ENST00000415928,0.00,48.00,8.94
NDRG1,ENST00000675568,1,NDRG1_ENST00000675568,1.85,,Fitting failed: Negative mean or mean not greater than standard deviation
PMS2,ENST00000699758,1,PMS2_ENST00000699758,0.00,40.00,3.16
TSC2,ENST00000568366,2,TSC2_ENST00000644417-TSC2_ENST00000568366,3.22,60.86,7.40
CGA,ENST00000610310,1,CGA_ENST00000610310,0.01,54.00,0.05
CFH,ENST00000466229,1,CFH_ENST00000466229,0.62,32.14,7.26
CAPN1,ENST00000527699,1,CAPN1_ENST00000527699,0.00,60.00,3.16
NOD2,ENST00000697427,1,NOD2_ENST00000697427,0.00,56.00,4.32
SMARCA2,ENST00000636559,3,SMARCA2_ENST00000637806-SMARCA2_ENST00000637103-SMARCA2_ENST00000636559,3.08,37.73,8.05
KRAS,ENST00000687356,1,KRAS_ENST00000687356,0.51,30.87,1.48
MECP2,ENST00000369957,1,MECP2_ENST00000369957,0.00,52.00,3.16
PTEN,ENST00000700026,1,PTEN_ENST00000700026,2.59,30.30,8.60
KDM1A,ENST00000465864,3,KDM1A_ENST00000465864-KDM1A_ENST00000692056-KDM1A_ENST00000685102,0.49,43.29,3.84
SATB1,ENST00000491519,1,SATB1_ENST00000491519,0.80,35.30,7.79
FCGR2A,ENST00000471026,2,FCGR2A_ENST00000471026-FCGR2A_ENST00000699277,0.35,50.89,2.00
HLA-DRA,ENST00000415767,7,HLA-DRA_ENST00000383258-HLA-DRA_ENST00000374982-HLA-DRA_ENST00000415767-HLA-DRA_ENST00000427753-HLA-DRA_ENST00000418111-HLA-DRA_ENST00000434866-HLA-DRA_ENST00000411505,0.79,48.78,2.86
TBK1,ENST00000676469,1,TBK1_ENST00000676469,0.00,37.00,6.06
CD55,ENST00000367064,1,CD55_ENST00000367064,0.48,25.05,4.21
CSF3R,ENST00000466138,1,CSF3R_ENST00000466138,0.00,58.00,6.63
OPRM1,ENST00000337049,1,OPRM1_ENST00000337049,0.00,,Not enough GC content data points for fitting
CSNK2B,ENST00000454382,16,CSNK2B_ENST00000383433-CSNK2B_ENST00000452985-CSNK2B_ENST00000454382-CSNK2B_ENST00000443673-CSNK2B_ENST00000422567-CSNK2B_ENST00000451917-CSNK2B_ENST00000615772-CSNK2B_ENST00000615589-CSNK2B_ENST00000612713-CSNK2B_ENST00000621953-CSNK2B_ENST00000613998-CSNK2B_ENST00000614783-CSNK2B_ENST00000611721-CSNK2B_ENST00000619468-CSNK2B_ENST00000617578-CSNK2B_ENST00000621623,0.00,,Not enough GC content data points for fitting
AKT2,ENST00000486368,1,AKT2_ENST00000486368,0.20,60.60,2.05
NOTCH4,ENST00000471956,2,NOTCH4_ENST00000471956-NOTCH4_ENST00000454571,0.00,62.00,3.16
UBE2D3,ENST00000514755,3,UBE2D3_ENST00000394803-UBE2D3_ENST00000514755-UBE2D3_ENST00000508818,19.56,58.13,1.94
ALOX15,ENST00000576572,1,ALOX15_ENST00000576572,0.00,58.00,6.63
KCNMA1,ENST00000639591,1,KCNMA1_ENST00000639591,0.00,54.00,4.32
NR1H3,ENST00000527464,3,NR1H3_ENST00000495866-NR1H3_ENST00000616973-NR1H3_ENST00000527464,0.00,57.00,8.37
CFLAR,ENST00000425030,1,CFLAR_ENST00000425030,4.22,43.07,8.79
PRF1,ENST00000441259,1,PRF1_ENST00000441259,0.42,56.41,4.74
PDE4D,ENST00000405053,1,PDE4D_ENST00000405053,0.02,44.00,0.24
SNAP25,ENST00000254976,2,SNAP25_ENST00000254976-SNAP25_ENST00000304886,0.45,64.34,2.28
HFE,ENST00000486147,1,HFE_ENST00000486147,0.42,49.70,2.80
PTK2,ENST00000523067,2,PTK2_ENST00000520045-PTK2_ENST00000523067,2.76,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
KIR3DL1,ENST00000611574,4,KIR3DL1_ENST00000615523-KIR3DL1_ENST00000616424-KIR3DL1_ENST00000610345-KIR3DL1_ENST00000611574,0.00,57.00,3.74
TP73,ENST00000378290,2,TP73_ENST00000378290-TP73_ENST00000604194,0.00,57.00,3.74
NFE2L2,ENST00000699308,5,NFE2L2_ENST00000699413-NFE2L2_ENST00000699435-NFE2L2_ENST00000699404-NFE2L2_ENST00000699301-NFE2L2_ENST00000699308,1.26,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
DDR1,ENST00000400411,5,DDR1_ENST00000259875-DDR1_ENST00000400410-DDR1_ENST00000400411-DDR1_ENST00000468225-DDR1_ENST00000552721,14.16,66.59,9.05
ERCC6,ENST00000681632,1,ERCC6_ENST00000681632,0.41,41.31,6.24
SLC1A2,ENST00000644100,1,SLC1A2_ENST00000644100,0.00,53.00,6.06
ERBB3,ENST00000683018,1,ERBB3_ENST00000683018,0.00,55.00,2.58
IGFBP7,ENST00000295666,2,IGFBP7_ENST00000295666-IGFBP7_ENST00000512512,9.49,36.44,5.68
STAT5A,ENST00000676631,1,STAT5A_ENST00000676631,0.11,54.78,2.99
APOA5,ENST00000227665,1,APOA5_ENST00000227665,0.00,,Not enough GC content data points for fitting
DDIT3,ENST00000346473,2,DDIT3_ENST00000346473-DDIT3_ENST00000623876,8.89,,Fitting failed: Negative mean or mean not greater than standard deviation
SMN2,ENST00000509805,6,SMN2_ENST00000509805-SMN1_ENST00000513228-SMN2_ENST00000624254-SMN1_ENST00000518504-SMN2_ENST00000626988-SMN2_ENST00000625953,0.28,32.95,3.82
ZEB1,ENST00000606161,2,ZEB1_ENST00000606671-ZEB1_ENST00000606161,1.17,39.21,4.05
SMN2,ENST00000503678,7,SMN2_ENST00000503678-SMN2_ENST00000509805-SMN1_ENST00000513228-SMN2_ENST00000624254-SMN1_ENST00000518504-SMN2_ENST00000626988-SMN2_ENST00000625953,0.40,,Below k-mer threshold: no fitting performed
IKBKB,ENST00000521661,6,IKBKB_ENST00000416505-IKBKB_ENST00000649612-IKBKB_ENST00000521661-IKBKB_ENST00000523105-IKBKB_ENST00000520655-IKBKB_ENST00000523599,0.97,47.79,1.94
NOTCH4,ENST00000474612,3,NOTCH4_ENST00000471956-NOTCH4_ENST00000474612-NOTCH4_ENST00000465833,0.00,47.00,3.74
KCNMA1,ENST00000639498,6,KCNMA1_ENST00000639498-KCNMA1_ENST00000639344-KCNMA1_ENST00000639657-KCNMA1_ENST00000639591-KCNMA1_ENST00000640605-KCNMA1_ENST00000640626,0.00,44.00,4.32
NOS3,ENST00000297494,1,NOS3_ENST00000297494,0.01,61.67,0.80
PRKCD,ENST00000477794,1,PRKCD_ENST00000477794,0.36,57.79,5.62
CFLAR,ENST00000441224,1,CFLAR_ENST00000441224,8.47,91.60,17.72
IKZF1,ENST00000645066,2,IKZF1_ENST00000645066-IKZF1_ENST00000698573,0.22,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
GBA1,ENST00000570868,2,GBA1_ENST00000460156-GBA1_ENST00000570868,1.47,58.37,10.42
CTSB,ENST00000677671,2,CTSB_ENST00000710714-CTSB_ENST00000677671,0.00,55.00,3.74
CTSL,ENST00000677262,1,CTSL_ENST00000677262,0.00,47.00,3.74
ELN,ENST00000692049,1,ELN_ENST00000692049,0.00,69.00,4.90
DLC1,ENST00000515225,2,DLC1_ENST00000358919-DLC1_ENST00000515225,2.91,65.70,13.36
MFN2,ENST00000675053,1,MFN2_ENST00000675053,0.00,57.00,7.21
CD247,ENST00000700165,4,CD247_ENST00000700165-CD247_ENST00000700155-CD247_ENST00000700159-CD247_ENST00000700138,0.00,56.00,3.16
PRKCZ,ENST00000503672,1,PRKCZ_ENST00000503672,1.52,44.92,12.82
PIK3R1,ENST00000697555,1,PIK3R1_ENST00000697555,3.19,38.16,2.87
PABPC1,ENST00000521067,1,PABPC1_ENST00000521067,0.00,76.00,3.16
CDK5,ENST00000469108,1,CDK5_ENST00000469108,0.12,46.19,4.68
THRB,ENST00000646209,2,THRB_ENST00000396671-THRB_ENST00000646209,0.06,37.77,9.52
SERPINA1,ENST00000553327,4,SERPINA1_ENST00000437397-SERPINA1_ENST00000631256-SERPINA1_ENST00000620666-SERPINA1_ENST00000553327,0.88,60.45,3.65
CTSB,ENST00000679121,3,CTSB_ENST00000505496-CTSB_ENST00000526195-CTSB_ENST00000679121,0.00,58.00,5.48
TNF,ENST00000443707,7,TNF_ENST00000376122-TNF_ENST00000383496-TNF_ENST00000448781-TNF_ENST00000412275-TNF_ENST00000420425-TNF_ENST00000443707-TNF_ENST00000449264,0.12,59.91,2.84
MC1R,ENST00000555427,1,MC1R_ENST00000555427,0.00,60.40,6.23
KCNN4,ENST00000601549,1,KCNN4_ENST00000601549,1.25,55.00,7.46
MX1,ENST00000441677,1,MX1_ENST00000441677,0.29,66.09,2.70
SCARB1,ENST00000680982,1,SCARB1_ENST00000680982,0.86,48.56,6.16
FADS1,ENST00000350997,1,FADS1_ENST00000350997,0.46,48.39,10.54
CRYAB,ENST00000528961,1,CRYAB_ENST00000528961,0.00,53.00,2.58
AHR,ENST00000242057,1,AHR_ENST00000242057,362554.50,41.69,6.55
PLA2G6,ENST00000664587,1,PLA2G6_ENST00000664587,0.00,54.00,3.16
HNRNPK,ENST00000492865,1,HNRNPK_ENST00000492865,4.38,,Fitting failed: Negative mean or mean not greater than standard deviation
VASP,ENST00000592139,1,VASP_ENST00000592139,0.00,66.00,4.32
CFTR,ENST00000693465,1,CFTR_ENST00000693465,1.79,40.95,3.28
SLC3A2,ENST00000541425,6,SLC3A2_ENST00000535768-SLC3A2_ENST00000541425-SLC3A2_ENST00000538682-SLC3A2_ENST00000680002-SLC3A2_ENST00000700482-SLC3A2_ENST00000679908,0.09,57.09,2.36
HMGCR,ENST00000511206,1,HMGCR_ENST00000511206,0.73,46.67,3.25
MS4A1,ENST00000532491,1,MS4A1_ENST00000532491,0.25,41.53,8.45
HSF1,ENST00000534314,2,HSF1_ENST00000534314-HSF1_ENST00000643951,0.79,51.38,2.15
MLH1,ENST00000673897,2,MLH1_ENST00000673897-MLH1_ENST00000536378,0.00,38.00,4.32
PLP1,ENST00000619236,2,PLP1_ENST00000621218-PLP1_ENST00000619236,0.00,,Below k-mer threshold: no fitting performed
ADD1,ENST00000536424,1,ADD1_ENST00000536424,-0.00,53.00,3.74
CYP3A5,ENST00000469622,1,CYP3A5_ENST00000469622,1.30,38.23,1.85
DDB1,ENST00000681580,4,DDB1_ENST00000538470-DDB1_ENST00000681815-DDB1_ENST00000681580-DDB1_ENST00000680345,0.43,53.04,13.30
HP,ENST00000562488,2,HP_ENST00000565807-HP_ENST00000562488,0.00,50.00,5.48
AGER,ENST00000448768,2,AGER_ENST00000424145-AGER_ENST00000448768,0.00,,Not enough GC content data points for fitting
PPIA,ENST00000678643,1,PPIA_ENST00000678643,27.01,41.42,6.01
DNMT1,ENST00000678851,1,DNMT1_ENST00000678851,13.28,26.10,16.39
BTK,ENST00000695630,1,BTK_ENST00000695630,0.00,40.00,3.16
RPA1,ENST00000571058,1,RPA1_ENST00000571058,0.00,69.00,11.83
REN,ENST00000638118,1,REN_ENST00000638118,0.00,50.00,7.79
BUB1B,ENST00000558151,1,BUB1B_ENST00000558151,0.07,35.51,3.03
ATG5,ENST00000636437,1,ATG5_ENST00000636437,0.00,48.00,15.87
AKT1,ENST00000554826,4,AKT1_ENST00000557552-AKT1_ENST00000554826-AKT1_ENST00000553506-AKT1_ENST00000610370,5.05,66.46,5.51
C4B,ENST00000496668,8,C4A_ENST00000492958-C4B_ENST00000478388-C4A_ENST00000471624-C4B_ENST00000464996-C4A_ENST00000478025-C4A_ENST00000490545-C4B_ENST00000485815-C4B_ENST00000496668,0.12,56.96,2.52
CD34,ENST00000356522,1,CD34_ENST00000356522,0.28,,Fitting failed: Negative mean or mean not greater than standard deviation
BECN1,ENST00000589663,1,BECN1_ENST00000589663,0.01,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
NCAM1,ENST00000613217,1,NCAM1_ENST00000613217,0.00,42.00,3.16
IGF2BP1,ENST00000510023,1,IGF2BP1_ENST00000510023,0.00,44.00,8.94
HNF1B,ENST00000619478,1,HNF1B_ENST00000619478,0.00,61.00,7.21
DDR1,ENST00000485023,6,DDR1_ENST00000484230-DDR1_ENST00000460152-DDR1_ENST00000469592-DDR1_ENST00000474440-DDR1_ENST00000485023-DDR1_ENST00000482978,1.08,61.68,1.94
SMN1,ENST00000510679,1,SMN1_ENST00000510679,0.00,57.00,2.58
VTCN1,ENST00000369458,2,VTCN1_ENST00000369458-VTCN1_ENST00000359008,0.00,,Below k-mer threshold: no fitting performed
TSC2,ENST00000643120,3,TSC2_ENST00000461648-TSC2_ENST00000643120-TSC2_ENST00000568692,1.98,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
ADH1B,ENST00000504498,2,ADH1B_ENST00000504498-ADH1B_ENST00000632775,0.87,49.01,2.79
IDO1,ENST00000523779,3,IDO1_ENST00000522495-IDO1_ENST00000523779-IDO1_ENST00000518237,2.02,,Below k-mer threshold: no fitting performed
ROS1,ENST00000368508,1,ROS1_ENST00000368508,0.23,45.69,4.24
MED12,ENST00000685655,1,MED12_ENST00000685655,0.00,42.00,4.32
OGT,ENST00000373701,6,OGT_ENST00000373701-OGT_ENST00000488174-OGT_ENST00000699784-OGT_ENST00000699783-OGT_ENST00000699750-OGT_ENST00000699782,3.16,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
KDR,ENST00000263923,1,KDR_ENST00000263923,1.91,67.57,5.78
TRPV4,ENST00000418703,1,TRPV4_ENST00000418703,0.00,63.80,8.66
UMOD,ENST00000396138,1,UMOD_ENST00000396138,0.00,,Not enough GC content data points for fitting
TRPM7,ENST00000561443,1,TRPM7_ENST00000561443,0.00,,Not enough GC content data points for fitting
